"gid";"the_geom";"incidenttyppe";"locationname";"locaccuraccy";"incidenttime";"description";"source";"sourcerate";"sourcerateinfo";"remarks";"noaffectedperson";"nopersonkilled";"nopersoninjured";"coordinate"
143;"0101000020E6100000AC26DE8134C45040E844573955FC3840";12;"Northern Karahi, Power House Roundabout";"Accurate";"2012-11-19 14:30:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.065704791016 24.985675414854)"
145;"0101000020E6100000C6EB42F371BF5040D8C93362FEED3840";14;"Mominabad";"Estimate";"2012-11-19 19:00:00";"Shooting";"";"F";1;"";1;1;0;"POINT(66.991329970696 24.929662835735)"
90;"0101000020E6100000A2E838CFC7C95040E2F94F5B47E13840";12;"Shah Faisal";"Estimate";"2012-11-14 00:00:00";"Shooting; 1x injured";"";"F";6;"";1;0;0;"POINT(67.15282040174 24.879995066667)"
91;"0101000020E6100000E6E8387707C450406757D418BFFE3840";12;"New Karachi";"Estimate";"2012-11-14 00:00:00";"Shooting; 1x killed";"";"B";1;"";1;0;0;"POINT(67.062955670906 24.995103408662)"
92;"0101000020E610000044F1428BEEC85040958BF2B68BD53840";14;"Korangi";"Estimate";"2012-11-14 00:00:00";"Shooting; 1x killed";"";"F";6;"";1;0;0;"POINT(67.139559569715 24.834163126197)"
94;"0101000020E6100000C5E8380B73C450403E2089AE5BFE3840";12;"New Karachi";"Estimate";"2012-11-14 00:00:00";"Shooting; 1x killed";"";"F";6;"";1;0;0;"POINT(67.069521718574 24.99358645294)"
95;"0101000020E6100000D7E8380B76C15040EF36896BB4ED3840";12;"Kati Pahari";"Estimate";"2012-11-14 00:00:00";"Shooting; 2x killed";"";"B";1;"";2;0;0;"POINT(67.022829824043 24.928534241676)"
97;"0101000020E610000029EF422B27C35040FB0D0FF498E43840";12;"PIB Colony";"Estimate";"2012-11-15 00:00:00";"Shooting; 3x killed";"";"F";6;"";3;0;0;"POINT(67.04926568543 24.892958882976)"
98;"0101000020E6100000F7E8387742C550408561163137E23840";14;"Bhahadur, Ghazi Salahuddin Road ";"Accurate";"2012-11-14 00:00:00";"Shooting; 1x killed";"";"C";1;"Poss sectarian killing; ASWJ member";1;0;0;"POINT(67.082181745125 24.883654659237)"
147;"0101000020E6100000EAE838733CC0504098977F0A93F53840";12;"Manghopir Colony";"Estimate";"2012-11-20 10:30:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.003689580513 24.959274917746)"
100;"0101000020E61000007CE938AB7EBE5040BC20E34824F13840";12;"Orangi Town";"Estimate";"2012-11-15 00:00:00";"Shooting; 1x injured";"";"F";6;"";1;0;0;"POINT(66.976481252268 24.941959910823)"
99;"0101000020E61000009C14576B9CD15040BCA4278014D43840";12;"Bhains Colony, Cattle Colony";"Estimate";"2012-11-15 16:45:00";"Shooting; 1x killed";"";"B";3;"";1;0;0;"POINT(67.275172076263 24.828437814406)"
107;"0101000020E61000001AE9383BEFBD50401E3C5FC93DF13840";3;"Orangi Town";"Estimate";"2012-11-15 19:00:00";"Human Remains Find";"";"F";6;"";1;1;0;"POINT(66.967726522042 24.94234903884)"
109;"0101000020E610000000E938BB2CC45040CE8EB85A34FF3840";12;"New Karachi";"Estimate";"2012-11-15 19:45:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.065230184151 24.99689261442)"
105;"0101000020E6100000B6EB4297CFBD504020E43C069DE83840";12;"Baldia Town, Saeedabad";"Estimate";"2012-11-15 16:30:00";"Shooting";"";"F";6;"";5;1;4;"POINT(66.965795340874 24.908646001688)"
117;"0101000020E6100000C081A1463AC6504001402A21DAF13840";12;"Al Noor";"Estimate";"2012-11-16 18:00:00";"Shooting";"";"F";6;"";3;0;3;"POINT(67.097306878778 24.944734642806)"
119;"0101000020E6100000B681A1D675BE50400441B85AC0EC3840";12;"Balsia Town No.9";"Estimate";"2012-11-16 17:45:00";"Shooting";"";"F";6;"";1;0;1;"POINT(66.975942285272 24.924810094818)"
115;"0101000020E6100000E21144121ABA433FB2AC3DACE34C2D3F";12;"Golimar";"Estimate";"2012-11-16 17:30:00";"Shooting";"";"F";1;"";2;1;2;"POINT(0.00060201905265039 0.00022354392251187)"
121;"0101000020E61000003AE9386BCAC1504043BA97B06BF13840";14;"Qasba Colony";"Estimate";"2012-11-16 20:00:00";"Shooting";"";"F";6;"MQM worker";1;0;1;"POINT(67.027979665353 24.943049466174)"
123;"0101000020E610000023E938BB32BE5040B3E86F1BACEB3840";12;"Baldia Town";"Estimate";"2012-11-16 22:25:00";"Shooting";"";"F";6;"";1;0;1;"POINT(66.971846395089 24.9205948971)"
125;"0101000020E610000013E9389B0DC75040187EE293CDF03840";12;"Gulshan-e-Iqbal";"Estimate";"2012-11-17 01:00:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.110205464913 24.940636866375)"
127;"0101000020E610000010E93853DCC75040E63CA39367EC3840";12;"Gulistan-e-Jauhar";"Estimate";"2012-11-17 15:45:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.122822576119 24.923455455163)"
129;"0101000020E61000002AE938D352C250408E30F4516FDF3840";12;"Purani Sabzi";"Estimate";"2012-11-17 17:15:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.036305242135 24.872792360417)"
131;"0101000020E6100000BFE8386B35C05040C4FB8EE772F43840";12;"Manghopir";"Estimate";"2012-11-17 18:30:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.00326042707 24.954878303917)"
133;"0101000020E610000018E9385B6DC550401551F99400F13840";12;"Sohrab Goth";"Estimate";"2012-11-18 13:45:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.084799581124 24.941415129536)"
137;"0101000020E61000006DB24C5AF1C75040682DF0A394EC3840";12;"Gulistan-e-Johar";"Estimate";"2012-11-18 19:30:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.124106001758 24.924143072259)"
135;"0101000020E6100000B0EF42B75BC650401C165E00BDF03840";4;"Abbas Town";"Estimate";"2012-11-18 21:00:00";"IED explosion";"";"A";1;"RCIED (using mobile phone) in motorcycle, approx 6kgs; 3 shops destroyed; 2x Rangers amongst injured";23;4;19;"POINT(67.099347892158 24.940383933039)"
139;"0101000020E610000065F212D253C85040FC9AABFD4ED43840";10;"Korangi";"Estimate";"2012-11-19 13:30:00";"Robbery";"";"F";6;"";1;0;1;"POINT(67.130116003516 24.829330305477)"
141;"0101000020E61000002EF212F278BF5040E4D0F71B47DE3840";12;"Lyari";"Estimate";"2012-11-19 14:00:00";"Shooting";"";"F";6;"";1;0;1;"POINT(66.991756933691 24.868272541048)"
149;"0101000020E610000037E938137AC4504062E6A5C97DE03840";12;"Shaheed e Millat Rd";"Estimate";"2012-11-20 11:00:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.069950872018 24.876919367793)"
150;"0101000020E6100000FEE8388F5AC25040FEFB4A1BAFE23840";12;"Patel Para";"Estimate";"2012-11-20 14:30:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.036777310921 24.88548441487)"
152;"0101000020E61000004BE9386B05C3504039CBEBBCFCD93840";6;"Jinnah Hospital";"Accurate";"2012-11-20 18:00:00";"Poss IED";"";"F";6;"";0;0;0;"POINT(67.047205739572 24.851512725417)"
154;"0101000020E61000002651BC6A1FC85040B885FA41FDD83840";12;"Korangi Industrial";"Estimate";"2012-11-20 20:30:00";"Shooting";"";"F";6;"Police officer";1;0;1;"POINT(67.126917537597 24.847614406264)"
156;"0101000020E61000002AE938D352C25040CDB485376ADF3840";12;"Numaish Chowrangi";"Accurate";"2012-11-21 01:00:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.036305242135 24.872714491027)"
157;"0101000020E610000023E838FFABC45040D18E137CA6E63840";2;"University Rd, Hasan Square";"Accurate";"2012-11-21 13:30:00";"Demonstration";"";"A";1;"Anti-Israel demonstration organised by JI";0;0;0;"POINT(67.072997861455 24.900977854514)"
158;"0101000020E610000053E938FBE3BD5040DDDBCF31B8F13840";4;"Orangi Town, No.5";"Estimate";"2012-11-21 18:30:00";"IED explosion 2x";"";"A";1;"1st IED poss SIED on motorcycle; 2nd detonation approx 60 min later poss RCIED";16;4;12;"POINT(66.967039876535 24.944216836211)"
160;"0101000020E61000006FE9386B0BBD50403D8B7014E7F03840";12;"Orangi Town";"Estimate";"2012-11-21 16:15:00";"Shooting";"";"F";6;"";1;1;0;"POINT(66.95382195051 24.94102599857)"
162;"0101000020E610000023F2129243BE5040FDD143BD28F43840";14;"Orangi Town, Benazir Colony";"Estimate";"2012-11-21 20:30:00";"Shooting";"";"F";6;"";1;1;0;"POINT(66.972874182226 24.953746632631)"
164;"0101000020E61000002AF21232CDC150401739C3A0BFF13840";5;"Qasba Colony";"Estimate";"2012-11-22 12:30:00";"IED find";"";"F";6;"RCIED approx 3-4 kgs, near Imambargah on procession route ";0;0;0;"POINT(67.028149145605 24.944330260908)"
165;"0101000020E610000059F2120ADFC850408D97227171E83840";12;"Gulistan-e-Johar, Pehlwan";"Estimate";"2012-11-22 16:15:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.138613241675 24.907980986543)"
167;"0101000020E610000083250832F0BD50409AE5C32D33EC3840";12;"Baldia Town";"Estimate";"2012-11-22 19:00:00";"Shooting";"";"F";6;"";2;0;2;"POINT(66.967785366016 24.922655926062)"
169;"0101000020E6100000792508C24FBF50407B7574FCE5F13840";12;"Orangi Town";"Estimate";"2012-11-22 20:00:00";"Shooting";"";"F";6;"Police officer";1;1;0;"POINT(66.989243038135 24.944915560181)"
171;"0101000020E61000008425082269BE5040C8E34DB18CE93840";14;"Saeedabad";"Estimate";"2012-11-22 23:00:00";"Shooting";"";"F";6;"";2;0;2;"POINT(66.975166805225 24.912303048626)"
173;"0101000020E610000019E938C390C150403E7856A21CF13840";6;"Qasba Colony";"Estimate";"2012-11-22 22:00:00";"Poss IED";"";"F";6;"Suspected motorbike near Imambargah - BDU deployed - all clear";0;0;0;"POINT(67.024460607125 24.941843172179)"
174;"0101000020E610000070E9385B5CC750401AC78AB3CEF43840";12;"Gulzar Hijri";"Estimate";"2012-11-23 12:00:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.115011983469 24.95627901209)"
175;"0101000020E610000026E9384FD0C850407C5739863B043940";12;"Gulshan-e-Maymar";"Estimate";"2012-11-23 17:00:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.13771420057 25.016533268928)"
176;"0101000020E610000076E93883C3BF50402DE6734911DD3840";12;"Lyari, Bghdadi";"Estimate";"2012-11-23 19:45:00";"Shooting";"";"F";6;"";2;2;0;"POINT(66.996308141306 24.863545027538)"
177;"0101000020E61000006CE93813D7C15040B8A215391DDE3840";6;"MA Jinnah Rd";"Estimate";"2012-11-24 11:00:00";"IED threat";"";"F";6;"BDU is checking containers used to block the road after a tip off";0;0;0;"POINT(67.02875214155 24.867633407385)"
178;"0101000020E610000073F212127BCA5040A5234E4E78F63840";4;"Saforah Goth";"Estimate";"2012-11-25 00:45:00";"IED explosion";"";"F";1;"A second 0.5kgs IED was found at the same loc 30 min later; loc is on a Muh procession rte";0;0;0;"POINT(67.163761633399 24.962773222043)"
180;"0101000020E610000043E938EB75C350409630D1C874FC3840";12;"New Karachi";"Estimate";"2012-11-25 22:30:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.05407219465 24.986156989166)"
183;"0101000020E610000042E938FB48C250408B26046558F53840";12;"Manghopir";"Estimate";"2012-11-26 14:15:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.035704427316 24.958380044473)"
185;"0101000020E6100000DDE8383301C3504046E1A73A20E23840";12;"Jamshed Rd";"Estimate";"2012-11-26 16:15:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.046948247505 24.883304277407)"
192;"0101000020E610000001F1144996C4504021AA7CEE6D003940";12;"New Karachi, sec. 5D";"Estimate";"2012-11-27 12:15:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.071672697497 25.001677422939)"
96;"0101000020E6100000CBEF4C0BD3BE5040A83376C1B9F23840";14;"Orangi Town, Bangla Bazar";"Estimate";"2012-11-14 00:00:00";"Shooting; 1x killed";"";"F";6;"";1;0;0;"POINT(66.981631112226 24.948146907194)"
193;"0101000020E61000002FF1143173C35040485A19C73DE93840";12;"Sharifabad";"Estimate";"2012-11-27 15:00:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.053905744983 24.91109890336)"
101;"0101000020E610000014E9381374CA5040B2AACEA223E13840";12;"Shah Faizal Colony";"Estimate";"2012-11-15 00:00:00";"Shooting; 1x killed";"";"F";6;"";1;0;0;"POINT(67.16333466108 24.879450011688)"
104;"0101000020E610000056E8385B38BE50404C548C74A4EB3840";12;"Baldia Town";"Estimate";"2012-11-15 16:00:00";"Shooting; 3x injured";"";"F";6;"";3;0;3;"POINT(66.97218971784 24.920478138218)"
106;"0101000020E6100000DAE842FBD5BC50402E88E865F5F13840";12;"Orangi Town";"Estimate";"2012-11-15 17:45:00";"Shooting";"";"F";6;"";1;1;0;"POINT(66.950560393659 24.94515072753)"
110;"0101000020E610000094E83853FBC650404F5E85B12AED3840";12;"Gulistan-e-Johar";"Estimate";"2012-11-16 04:00:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.109089665961 24.926432700215)"
112;"0101000020E610000072E838435EBF5040D4F73EEF10FA3840";12;"Ghaziapad";"Estimate";"2012-11-15 20:15:00";"Shooting";"";"F";6;"";1;1;0;"POINT(66.990128331732 24.976820900796)"
114;"0101000020E6100000EDE838CB48C55040D0EAAA9D50F03840";2;"Gulberg, Numais Chow";"Accurate";"2012-11-16 13:30:00";"Rally ";"";"A";1;"SSP/ASWJ rally";0;0;0;"POINT(67.082567983223 24.938730100849)"
116;"0101000020E61000009C81A156E3C150409B03885F68DC3840";12;"Garden";"Estimate";"2012-11-16 17:45:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.029500634881 24.860967608172)"
118;"0101000020E61000009781A1961BC25040A9CD0AEB52E93840";12;"Nazimabad, Goal Market";"Estimate";"2012-11-16 18:45:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.03293386242 24.91142148031)"
120;"0101000020E61000001AE9383B97CA5040983572881EE13840";12;"Shah Faisal Colony";"Estimate";"2012-11-16 19:45:00";"Shooting";"";"F";1;"";1;0;1;"POINT(67.165480428292 24.879372146495)"
122;"0101000020E61000000DE938FB1BC250408FB4BF2369F13840";12;"Kati Pahari";"Estimate";"2012-11-16 20:15:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.032957845284 24.943010553649)"
124;"0101000020E610000050E9382B51C65040F695BAD311EF3840";12;"Gulshan-e-Iqbal";"Estimate";"2012-11-16 23:45:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.098704152658 24.933865769437)"
126;"0101000020E610000041E9380BD0C15040630EF7033DDB3840";12;"Saddar Town, Zainab Market";"Estimate";"2012-11-17 02:00:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.028322988107 24.856399772469)"
128;"0101000020E610000002E9389BA2C850403CA3E7F28AEB3840";12;"Gulistan-e-Johar";"Estimate";"2012-11-17 17:00:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.134924703194 24.920088941147)"
130;"0101000020E6100000F8E8382B62C450406C6DB54600003940";10;"New Karachi";"Estimate";"2012-11-17 18:00:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.068491750313 25.000004214567)"
132;"0101000020E610000016E9387B8FBF5040058F83F909E73840";12;"SITE";"Estimate";"2012-11-18 13:00:00";"Shooting";"";"F";6;"";2;1;1;"POINT(66.993132405831 24.902495951289)"
136;"0101000020E610000041B24CDA2FBE5040BC1CFC251BEB3840";12;"Baldia Town";"Estimate";"2012-11-18 17:15:00";"Shooting";"";"F";6;"";1;0;1;"POINT(66.971670699023 24.918383001376)"
138;"0101000020E610000030B24CDA64C5504079C99E01CEF03840";12;"Sohrab Goth";"Estimate";"2012-11-19 07:00:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.084280562304 24.940643407122)"
140;"0101000020E61000001AF212223BBE5040D0E91BC092E53840";12;"Northern Bypass";"Estimate";"2012-11-19 13:30:00";"Shooting";"";"F";6;"";1;1;0;"POINT(66.972359198095 24.896770483794)"
142;"0101000020E61000006AF81C525FC45040DF9D1DF1CF0C3940";12;"Surjani Town";"Estimate";"2012-11-19 14:30:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.068317917148 25.050047940951)"
144;"0101000020E6100000D726DE89CBBB5040083615642FDE3840";12;"Mauripur Rd";"Estimate";"2012-11-19 14:00:00";"Shooting";"";"F";6;"Loc is on Mauripur Rd but unconfirmed";1;1;0;"POINT(66.934298006959 24.867910628489)"
146;"0101000020E6100000F0EB42931DBF5040FB24F7F7BFDA3840";12;"ICI Pul";"Estimate";"2012-11-20 09:30:00";"Shooting";"";"F";6;"";2;2;0;"POINT(66.986180129388 24.854491708601)"
148;"0101000020E6100000F1E838134AC750400DBFB295A5E73840";12;"Johar Mor";"Estimate";"2012-11-20 10:30:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.113896184517 24.904870372905)"
151;"0101000020E610000062E8383320C25040977B83575BE03840";10;"Soldier Bazar";"Estimate";"2012-11-20 16:30:00";"Robbery";"";"F";6;"";1;0;1;"POINT(67.033215337347 24.876393766022)"
153;"0101000020E610000023E938BB1EC35040003488D03AE83840";2;"Liaquatabad";"Estimate";"2012-11-20 18:00:00";"Religious procession";"";"F";6;"Roads blocked";0;0;0;"POINT(67.048750691964 24.907147439244)"
155;"0101000020E61000008351BC2A4ABF5040865A8E96E0E23840";10;"Shershah";"Estimate";"2012-11-20 21:30:00";"Robbery";"";"F";6;"";2;0;2;"POINT(66.988901790528 24.886239442591)"
159;"0101000020E610000012E938ABB0C85040A58D665680043940";12;"Gulshan-e-Maymar";"Estimate";"2012-11-21 16:15:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.135783010079 25.017583274877)"
161;"0101000020E610000045E938CB67C45040EBA515E20FF13840";12;"Sohrab Goth, Al Asif Sq";"Estimate";"2012-11-21 18:00:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.068835073068 24.941648607526)"
166;"0101000020E61000009FF21292F4C15040D556F16DA9CF3840";6;"Shah Ghazi Mazar";"Accurate";"2012-11-22 16:01:00";"IED threat";"";"A";6;"";0;0;0;"POINT(67.030552404884 24.811179038449)"
168;"0101000020E610000094250832FBC15040BD43162FBDF13840";12;"Kati Pahari";"Estimate";"2012-11-22 19:00:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.030956752735 24.944292967735)"
170;"0101000020E6100000B225088290BE5040892340B2ECEA3840";5;"Baldia Town";"Estimate";"2012-11-22 21:00:00";"IED find";"";"F";6;"Similar device as found earlier on the 22nd in Orangi Town";0;0;0;"POINT(66.977570064503 24.917674198779)"
172;"0101000020E610000013E9389BCDBB50404F1261FB0FF63840";10;"Yusuf Goth";"Estimate";"2012-11-23 01:00:00";"Robbery";"";"F";6;"";1;0;1;"POINT(66.934424214913 24.961181365203)"
182;"0101000020E6100000F4E8386BAEBF50407780FDA8BBD93840";4;"Lyari, Khadda Market, Kharadar";"Estimate";"2012-11-25 21:15:00";"IED explosion";"";"F";6;"Handgrenade";1;0;1;"POINT(66.995020680977 24.850519716158)"
